pbx_0000|The same banks that lobbied against crypto regulation|The same banks that lobbied against crypto regulation
pbx_0001|That's the thing about velocity. When institutions move, they don't ease in.|That's the thing about velocity. When institutions move, they don't ease in.
pbx_0002|They're going to be waiting against a different kind of buyer.|They're going to be waiting against a different kind of buyer.
pbx_0003|Preston Pitch has been right about this longer than most.|Preston Pitch has been right about this longer than most.
pbx_0004|When the establishment changes its position this fast,|When the establishment changes its position this fast,
pbx_0005|I want to talk about something nobody in the mainstream finance wants you to touch.|I want to talk about something nobody in the mainstream finance wants you to touch.
pbx_0006|I want to talk about something that nobody in mainstream media|I want to talk about something that nobody in mainstream media
pbx_0007|I want to talk about something that nobody in mainstream finance wants you to understand.|I want to talk about something that nobody in mainstream finance wants you to understand.
pbx_0008|is not a digital version of cash.|is not a digital version of cash.
pbx_0009|A government that can program your money can decide where you spend it.|A government that can program your money can decide where you spend it.
pbx_0010|This isn't a conspiracy theory.|This isn't a conspiracy theory.
pbx_0011|This is the stated design.|This is the stated design.
pbx_0012|goal of nearly every CBDC project.|goal of nearly every CBDC project.
pbx_0013|He's been sounding the alarm longer than anything.|He's been sounding the alarm longer than anything.
pbx_0014|longer than almost anyone in this space.|longer than almost anyone in this space.
pbx_0015|The infrastructure for financial surveillance is being built right now.|The infrastructure for financial surveillance is being built right now.
pbx_0016|Most people won't notice until it's already in place.|Most people won't notice until it's already in place.
pbx_0017|China's digital yuan already has expiration dates on some allocations.|China's digital yuan already has expiration dates on some allocations.
pbx_0018|The European Central Bank has published papers discussing programmable restrictions on cash alternatives.|The European Central Bank has published papers discussing programmable restrictions on cash alternatives.
pbx_0019|has described CBDC as offering unprecedented control over monetary transactions.|has described CBDC as offering unprecedented control over monetary transactions.
pbx_0020|And it's closer than most people realize.|And it's closer than most people realize.
pbx_0021|Matt O'Dell has been building the privacy case for years.|Matt O'Dell has been building the privacy case for years.
pbx_0022|Matt O'Dell has been building the privacy case for years.|Matt O'Dell has been building the privacy case for years.
pbx_0023|And the mainstream press is still not covering it.|And the mainstream press is still not covering it.
pbx_0024|Because it's the only monetary system in history that has no government controls.|Because it's the only monetary system in history that has no government controls.
pbx_0025|The cypherpunks built Bitcoin in secret.|The cypherpunks built Bitcoin in secret.
pbx_0026|because they understood something most people still don't.|because they understood something most people still don't.
pbx_0027|Self-custody isn't a preference.|Self-custody isn't a preference.
pbx_0028|Let's talk about what's actually happening in the macro environment.|Let's talk about what's actually happening in the macro environment.
pbx_0029|The Fed has been walking the tightrope since 2022.|The Fed has been walking the tightrope since 2022.
pbx_0030|hiking rates to fight inflation they caused with their own money printer.|hiking rates to fight inflation they caused with their own money printer.
pbx_0031|Lynn Alden has been one of the most consistent macro voices in Bitcoin for years.|Lynn Alden has been one of the most consistent macro voices in Bitcoin for years.
pbx_0032|when she describes the late-stage Fiat psychodynamics.|when she describes the late-stage Fiat psychodynamics.
pbx_0033|She's pattern matching against 200 years of monetary history.|She's pattern matching against 200 years of monetary history.
pbx_0034|History is extremely clear on this.|History is extremely clear on this.
pbx_0035|Every major fiat currency in modern history has trended towards zero.|Every major fiat currency in modern history has trended towards zero.
pbx_0036|The British pound has lost over 99% of its value since the Federal Reserve was created.|The British pound has lost over 99 percent of its value since the Federal Reserve was created.
pbx_0037|The dollar has lost over 97%.|The dollar has lost over 97 percent.
pbx_0038|And this one connects directly to what we've just heard.|And this one connects directly to what we've just heard.
pbx_0039|Nobody can revise those numbers after the fact.|Nobody can revise those numbers after the fact.
pbx_0040|Bitcoin's entire value proposition is simple.|Bitcoin's entire value proposition is simple.
pbx_0041|Scarcity is the most powerful concept in finance.|Scarcity is the most powerful concept in finance.
